求和项:mape,列标签,,,,,求和项:mape,列标签,,,
行标签,34,35,36,总计,,行标签,34,35,36,总计
1001,0.042191688,0.013772831,0.098710353,0.154674872,,1001,0.046449488,0.039079016,0.110780372,0.196308876
1002,0.06982591,0.074786111,0.068590379,0.2132024,,1002,0.06420287,0.094664314,0.011240402,0.170107586
1003,0.138310696,0.003183959,0.064237352,0.205732007,,1003,0.072147597,0.064364416,0.053791129,0.190303142
1004,0.042066215,0.046448329,0.071440273,0.159954817,,1004,0.031507868,0.024233077,0.003855578,0.059596522
1005,0.005398882,0.137543072,0.072825671,0.215767626,,1005,0.022144015,0.084751568,0.064957272,0.171852855
1006,0.012510647,0.019378603,0.101461927,0.133351177,,1006,0.006824545,0.020769984,0.115437214,0.143031743
1007,0.06166414,0.024827075,0.093817327,0.180308543,,1007,0.059497759,0.089834769,0.082554113,0.231886641
1008,0.067923024,0.049379057,0.062882613,0.180184693,,1008,0.032287757,0.00022059,0.106444112,0.138952459
1009,0.119837975,0.109777546,0.139829675,0.369445196,,1009,0.148150322,0.060128018,0.187969016,0.396247356
1010,0.179322204,0.085672156,0.144626731,0.409621091,,1010,0.134040437,0.171671224,0.112639122,0.418350783
1011,0.260038572,0.14095439,0.172886767,0.573879729,,1011,0.3069641,0.120883886,0.097451669,0.525299655
1012,0.07317719,0.098669494,0.061507127,0.233353811,,1012,0.038471468,0.024969457,0.148792539,0.212233464
1013,0.073337133,0.09873231,0.01077506,0.182844503,,1013,0.043962817,0.030273805,0.045841318,0.12007794
1014,0.590030769,0.107131321,0.122536806,0.819698897,,1014,0.550441121,0.296104361,0.041566677,0.888112159
1015,0.073223983,0.033659694,0.111648579,0.218532257,,1015,0.041829029,0.060417355,0.070889865,0.173136248
1016,0.043447695,0.004183121,0.076568036,0.124198852,,1016,0.1345351,0.031317044,0.095111282,0.260963425
1017,0.039884348,0.084710635,0.059177652,0.183772635,,1017,0.054358761,0.050768272,0.10538208,0.210509113
1018,0.064691368,0.027949032,0.078796239,0.171436639,,1018,0.095261336,0.022193471,0.028045372,0.145500179
1019,0.071924907,0.049298417,0.46325441,0.584477734,,1019,0.048032655,0.05222131,0.387602172,0.487856138
1020,0.050199596,0.042926578,0.101041812,0.194167987,,1020,0.090324659,0.023272621,0.124389014,0.237986294
1021,0.041311475,0.086930471,0.078460927,0.206702872,,1021,0.047618165,0.158169368,0.056432408,0.262219941
1022,0.001285398,1.024359485,0.271013133,1.296658016,,1022,0.079738679,1.084647157,0.374417329,1.538803165
1023,0.012112206,0.065216701,0.129931408,0.207260314,,1023,0.039830874,0.092709285,0.077403584,0.209943742
1024,0.106424577,0.003854617,0.14805692,0.258336114,,1024,0.14490733,0.013574774,0.152498408,0.310980512
1025,0.078526315,0.067225843,0.099399494,0.245151652,,1025,0.0892106,0.086050632,0.10378494,0.279046172
1026,0.404022014,0.046723564,0.13633223,0.587077808,,1026,0.260602605,0.08098566,0.18787974,0.529468005
1027,0.10567861,0.100248438,0.308318797,0.514245845,,1027,0.186021238,0.06077377,0.3520652,0.598860207
1028,0.09788866,0.004962158,0.056646078,0.159496895,,1028,0.106666814,0.025934016,0.055304231,0.18790506
1029,0.015163727,0.125546105,0.025869251,0.166579083,,1029,0.036763712,0.093910031,0.026147297,0.15682104
1030,0.063781802,0.108512688,0.021114396,0.193408887,,1030,0.058449505,0.114578504,0.01102495,0.18405296
1031,0.257768989,0.283129608,0.03397328,0.574871876,,1031,0.311340154,0.215069846,0.055633635,0.582043635
1032,0.301366009,0.164530827,0.084599475,0.550496311,,1032,0.220131348,0.125461816,0.092743266,0.43833643
1033,0.35340156,0.065206735,0.230953206,0.649561501,,1033,0.179694231,0.203219515,0.1573179,0.540231646
1034,0.107116019,0.133488133,0.083543408,0.32414756,,1034,0.103094453,0.095498917,0.117268098,0.315861469
